,Unnamed: 0,French,English
0,1,chercher,search
1,2,seulement,only
2,3,police,police
3,4,pensais,thought
4,5,aide,help
5,6,demande,request
6,7,genre,kind
7,8,mois,month
8,9,frère,brother
9,10,laisser,let
10,11,mettre,to put
11,12,aucun,no
12,13,eux,them
13,14,ville,city
14,15,chaque,each
15,17,arrivé,come
16,18,devrait,should
17,19,bébé,baby
18,20,longtemps,long time
19,22,pendant,while
20,23,revoir,meet again
21,25,place,square
22,26,parle,speak
23,27,compris,understood
24,28,savais,knew
25,29,étaient,were
26,32,pourrais,could
27,33,affaire,case
28,34,donner,give
29,35,type,type
30,36,leurs,their
31,37,train,train
32,38,corps,body
33,39,endroit,place
34,40,yeux,eyes
35,41,façon,way
36,42,écoute,listen
37,44,trouve,find
38,45,premier,first
39,46,perdu,lost
40,47,main,hand
41,48,première,first
42,49,côté,side
43,51,vieux,old
44,52,sois,be
45,53,tiens,here
46,54,matin,morning
47,55,tellement,so much
48,56,enfant,child
49,57,point,point
50,58,suite,after
51,60,venez,come
52,61,devant,in front of
53,62,vers,towards
54,63,demandé,request
55,64,chambre,bedroom
56,65,mis,placed
57,67,droit,law
58,68,aimerais,would like to
59,69,aujourd'hui,today
60,70,mari,husband
61,71,cause,cause
62,72,enfin,finally
63,73,eau,water
64,74,attendez,Wait
65,76,nouvelle,new
66,78,arrêter,Stop
67,79,dirait,would say
68,80,terre,Earth
69,81,compte,account
70,82,donne,given
71,83,loin,far
72,84,fin,end
73,85,croire,believe
74,86,chérie,sweetheart
75,87,gros,large
76,88,plutôt,rather
77,89,filles,girls
78,91,bureau,office
